PMID	title	year	journal	authors
11118149	The bacterial flagellar cap as the rotary promoter of flagellin self-assembly.	2000	Science	Yonekura K, Maki S, Morgan DG, DeRosier DJ, Vonderviszt F, Imada K, Namba K
11257026	Antibiotic susceptibility profiles of Escherichia coli strains lacking multidrug efflux pump genes.	2001	Antimicrob Agents Chemother	Sulavik MC, Houseweart C, Cramer C, Jiwani N, Murgolo N, Greene J, DiDomenico B, Shaw KJ, Miller GH, Hare R, Shimer G
11268201	Structure of the bacterial flagellar protofilament and implications for a switch for supercoiling.	2001	Nature	Samatey FA, Imada K, Nagashima S, Vonderviszt F, Kumasaka T, Yamamoto M, Namba K
11591692	Acetate and formate stress: opposite responses in the proteome of Escherichia coli.	2001	J Bacteriol	Kirkpatrick C, Maurer LM, Oyelakin NE, Yoncheva YN, Maurer R, Slonczewski JL
14673116	Domain movements of HAP2 in the cap-filament complex formation and growth process of the bacterial flagellum.	2003	Proc Natl Acad Sci U S A	Maki-Yonekura S, Yonekura K, Namba K
17379704	Adapted tolerance to benzalkonium chloride in Escherichia coli K-12 studied by transcriptome and proteome analyses.	2007	Microbiology (Reading)	Bore E, Hébraud M, Chafsey I, Chambon C, Skjæret C, Moen B, Møretrø T, Langsrud Ø, Rudi K, Langsrud S
8759852	Organization of the Escherichia coli K-12 gene cluster responsible for production of the extracellular polysaccharide colanic acid.	1996	J Bacteriol	Stevenson G, Andrianopoulos K, Hobbs M, Reeves PR
12951338	Beta-lactam resistance modulated by the overexpression of response regulators of two-component signal transduction systems in Escherichia coli.	2003	J Antimicrob Chemother	Hirakawa H, Nishino K, Yamada J, Hirata T, Yamaguchi A
14973029	Studies of the interaction of Escherichia coli YjeQ with the ribosome in vitro.	2004	J Bacteriol	Daigle DM, Brown ED
15454563	Stress and survival of aging Escherichia coli rpoS colonies.	2004	Genetics	Saint-Ruf C, Taddei F, Matic I
15466596	A novel GTPase activated by the small subunit of ribosome.	2004	Nucleic Acids Res	Himeno H, Hanawa-Suetsugu K, Kimura T, Takagi K, Sugiyama W, Shirata S, Mikami T, Odagiri F, Osanai Y, Watanabe D, Goto S, Kalachnyuk L, Ushida C, Muto A
17015655	Time-dependent proteome alterations under osmotic stress during aerobic and anaerobic growth in Escherichia coli.	2006	J Bacteriol	Weber A, Kögl SA, Jung K
17272300	Visualizing the proteome of Escherichia coli: an efficient and versatile method for labeling chromosomal coding DNA sequences (CDSs) with fluorescent protein genes.	2007	Nucleic Acids Res	Watt RM, Wang J, Leong M, Kung HF, Cheah KS, Liu D, Danchin A, Huang JD
21697552	Cross-linking measurements of in vivo protein complex topologies.	2011	Mol Cell Proteomics	Zheng C, Yang L, Hoopmann MR, Eng JK, Tang X, Weisbrod CR, Bruce JE
799248	Isolation and characterization of temperature-sensitive mutants of Escherichia coli with altered ribosomal proteins.	1976	Mol Gen Genet	Isono K, Krauss J, Hirota Y
8349564	Characterization of twenty-six new heat shock genes of Escherichia coli.	1993	J Bacteriol	Chuang SE, Blattner FR
14733619	Analysis of the lambdoid prophage element e14 in the E. coli K-12 genome.	2004	BMC Microbiol	Mehta P, Casjens S, Krishnaswamy S
15659689	Genome-wide transcriptional response of chemostat-cultured Escherichia coli to zinc.	2005	J Bacteriol	Lee LJ, Barrett JA, Poole RK
15680962	The 30S ribosomal P site: a function of 16S rRNA.	2005	FEBS Lett	Noller HF, Hoang L, Fredrick K
16820466	Effect of drug transporter genes on cysteine export and overproduction in Escherichia coli.	2006	Appl Environ Microbiol	Yamada S, Awano N, Inubushi K, Maeda E, Nakamori S, Nishino K, Yamaguchi A, Takagi H
17067847	Conditional and replicative senescence in Escherichia coli.	2006	Curr Opin Microbiol	Fredriksson A, Nyström T
18784650	Concurrent nucleation of 16S folding and induced fit in 30S ribosome assembly.	2008	Nature	Adilakshmi T, Bellur DL, Woodson SA
19734316	Small stress response proteins in Escherichia coli: proteins missed by classical proteomic studies.	2010	J Bacteriol	Hemm MR, Paul BJ, Miranda-Ríos J, Zhang A, Soltanzad N, Storz G
4942549	Ribosomal proteins. Isolation of the proteins from 30S ribosomal subunits of Escherichia coli.	1971	Eur J Biochem	Hindennach I, Stöffler G, Wittmann HG
8415608	Phosphorylation-dependent binding of a signal molecule to the flagellar switch of bacteria.	1993	Proc Natl Acad Sci U S A	Welch M, Oosawa K, Aizawa S, Eisenbach M
10739205	A method for the chemical generation of N-terminal peptide sequence tags for rapid protein identification.	2000	Anal Chem	Hoving S, Münchbach M, Schmid H, Signor L, Lehmann A, Staudenmann W, Quadroni M, James P
12754220	Global gene expression profiling in Escherichia coli K12. The effects of oxygen availability and FNR.	2003	J Biol Chem	Salmon K, Hung SP, Mekjian K, Baldi P, Hatfield GW, Gunsalus RP
14527658	Changes in Escherichia coli transcriptome during acclimatization at low temperature.	2003	Res Microbiol	Polissi A, De Laurentis W, Zangrossi S, Briani F, Longhi V, Pesole G, Dehò G
16937252	Probing the adaptive response of Escherichia coli to extracellular Zn(II).	2006	Biometals	Sigdel TK, Cilliers R, Gursahaney PR, Thompson P, Easton JA, Crowder MW
16962548	Thermofluor-based high-throughput stability optimization of proteins for structural studies.	2006	Anal Biochem	Ericsson UB, Hallberg BM, Detitta GT, Dekker N, Nordlund P
18823050	Cell cycle progression in Escherichia coli B/r affects transcription of certain genes: Implications for synthetic genome design.	2009	Biotechnol Bioeng	Echtenkamp PL, Wilson DB, Shuler ML
2203971	Partition of tRNA synthetases into two classes based on mutually exclusive sets of sequence motifs.	1990	Nature	Eriani G, Delarue M, Poch O, Gangloff J, Moras D
8387990	Rhs elements of Escherichia coli K-12: complex composites of shared and unique components that have different evolutionary histories.	1993	J Bacteriol	Zhao S, Sandt CH, Feulner G, Vlazny DA, Gray JA, Hill CW
11222759	Radical SAM, a novel protein superfamily linking unresolved steps in familiar biosynthetic pathways with radical mechanisms: functional characterization using new analysis and information visualization methods.	2001	Nucleic Acids Res	Sofia HJ, Chen G, Hetzler BG, Reyes-Spindola JF, Miller NE
11683869	Short- and long-term changes in proteome composition and kinetic properties in a culture of Escherichia coli during transition from glucose-excess to glucose-limited growth conditions in continuous culture and vice versa.	2001	Environ Microbiol	Wick LM, Quadroni M, Egli T
11985624	Systematic search for zinc-binding proteins in Escherichia coli.	2002	Eur J Biochem	Katayama A, Tsujii A, Wada A, Nishino T, Ishihama A
15361881	Protein sequencing by mass analysis of polypeptide ladders after controlled protein hydrolysis.	2004	Nat Biotechnol	Zhong H, Zhang Y, Wen Z, Li L
15522865	Functional characterization in vitro of all two-component signal transduction systems from Escherichia coli.	2005	J Biol Chem	Yamamoto K, Hirao K, Oshima T, Aiba H, Utsumi R, Ishihama A
16385049	YdgG (TqsA) controls biofilm formation in Escherichia coli K-12 through autoinducer 2 transport.	2006	J Bacteriol	Herzberg M, Kaye IK, Peti W, Wood TK
16855227	Outer membrane vesicle production by Escherichia coli is independent of membrane instability.	2006	J Bacteriol	McBroom AJ, Johnson AP, Vemulapalli S, Kuehn MJ
19834901	Benchmarking yeast two-hybrid systems using the interactions of bacterial motility proteins.	2009	Proteomics	Rajagopala SV, Hughes KT, Uetz P
334749	Localization of proteins controlling motility and chemotaxis in Escherichia coli.	1977	J Bacteriol	Ridgway HG, Silverman M, Simon MI
4579428	Reconstitution of Escherichia coli 30 S ribosomal subunits from purified molecular components.	1973	J Biol Chem	Held WA, Mizushima S, Nomura M
10947847	Two types of localization of the DNA-binding proteins within the Escherichia coli nucleoid.	2000	Genes Cells	Azam TA, Hiraga S, Ishihama A
11401685	Co-ordinate regulation of the Escherichia coli cell cycle or The cloud of unknowing.	2001	Mol Microbiol	Donachie WD
15546665	The underlying mechanisms of type II protein secretion.	2004	Biochim Biophys Acta	Filloux A
15716429	Genome-wide analysis of the general stress response network in Escherichia coli: sigmaS-dependent genes, promoters, and sigma factor selectivity.	2005	J Bacteriol	Weber H, Polen T, Heuveling J, Wendisch VF, Hengge R
16321939	luxS-dependent gene regulation in Escherichia coli K-12 revealed by genomic expression profiling.	2005	J Bacteriol	Wang L, Li J, March JC, Valdes JJ, Bentley WE
17941710	A comprehensive genetic characterization of bacterial motility.	2007	PLoS Genet	Girgis HS, Liu Y, Ryu WS, Tavazoie S
18363324	Multiple stressor-induced proteome responses of Escherichia coli BL21(DE3).	2008	J Proteome Res	Han KY, Park JS, Seo HS, Ahn KY, Lee J
1482126	Communication modules in bacterial signaling proteins.	1992	Annu Rev Genet	Parkinson JS, Kofoid EC
2157156	Signal transduction in bacteria.	1990	Nature	Stock JB, Stock AM, Mottonen JM
7504166	Genetics of lipopolysaccharide biosynthesis in enteric bacteria.	1993	Microbiol Rev	Schnaitman CA, Klena JD
7699720	Response regulators of bacterial signal transduction systems: selective domain shuffling during evolution.	1995	J Mol Evol	Pao GM, Saier MH
8098993	Signal transduction schemes of bacteria.	1993	Cell	Parkinson JS
10806384	Proteomic analysis of the Escherichia coli outer membrane.	2000	Eur J Biochem	Molloy MP, Herbert BR, Slade MB, Rabilloud T, Nouwens AS, Williams KL, Gooley AA
11118204	Expression of the endogenous type II secretion pathway in Escherichia coli leads to chitinase secretion.	2000	EMBO J	Francetic O, Belin D, Badaut C, Pugsley AP
11443091	DNA microarray-mediated transcriptional profiling of the Escherichia coli response to hydrogen peroxide.	2001	J Bacteriol	Zheng M, Wang X, Templeton LJ, Smulski DR, LaRossa RA, Storz G
11583838	Ubiquinone biosynthesis in microorganisms.	2001	FEMS Microbiol Lett	Meganathan R
12963713	A novel metabolic cycle catalyzes glucose oxidation and anaplerosis in hungry Escherichia coli.	2003	J Biol Chem	Fischer E, Sauer U
15470461	Climbing the protein ladder.	2004	Nat Biotechnol	Dovichi NJ
16549663	The response of Escherichia coli to exposure to the biocide polyhexamethylene biguanide.	2006	Microbiology (Reading)	Allen MJ, White GF, Morby AP
16885437	Growth phase-dependent expression of drug exporters in Escherichia coli and its contribution to drug tolerance.	2006	J Bacteriol	Kobayashi A, Hirakawa H, Hirata T, Nishino K, Yamaguchi A
17277072	Essentiality of ribosomal and transcription antitermination proteins analyzed by systematic gene replacement in Escherichia coli.	2007	J Bacteriol	Bubunenko M, Baker T, Court DL
17349664	Molybdenum cofactor-dependent resistance to N-hydroxylated base analogs in Escherichia coli is independent of MobA function.	2007	Mutat Res	Kozmin SG, Schaaper RM
2656649	Functions required for vitamin B12-dependent ethanolamine utilization in Salmonella typhimurium.	1989	J Bacteriol	Roof DM, Roth JR
3045078	Ethanolamine utilization in Salmonella typhimurium.	1988	J Bacteriol	Roof DM, Roth JR
3294419	Generation of a detailed physical and genetic map of the ilv-metE-udp region of the Escherichia coli chromosome.	1988	J Mol Biol	Aldea M, Maples VF, Kushner SR
4587209	Studies on the primary structure of 20 proteins from Escherichia coli ribosomes by means of an improved protein sequenator.	1973	FEBS Lett	Wittmann-Liebold B
6222285	The spc ribosomal protein operon of Escherichia coli: sequence and cotranscription of the ribosomal protein genes and a protein export gene.	1983	Nucleic Acids Res	Cerretti DP, Dean D, Davis GR, Bedwell DM, Nomura M
7747941	The hydrogenases and formate dehydrogenases of Escherichia coli.	1994	Antonie Van Leeuwenhoek	Sawers G
8892824	H+/e- stoichiometry for NADH dehydrogenase I and dimethyl sulfoxide reductase in anaerobically grown Escherichia coli cells.	1996	J Bacteriol	Bogachev AV, Murtazina RA, Skulachev VP
9387241	A 12-cistron Escherichia coli operon (hyf) encoding a putative proton-translocating formate hydrogenlyase system.	1997	Microbiology (Reading)	Andrews SC, Berks BC, McClay J, Ambler A, Quail MA, Golby P, Guest JR
10966471	Aminoacyl-tRNA synthesis.	2000	Annu Rev Biochem	Ibba M, Soll D
11160101	Genetic footprinting in bacteria.	2001	J Bacteriol	Hare RS, Walker SS, Dorman TE, Greene JR, Guzman LM, Kenney TJ, Sulavik MC, Baradaran K, Houseweart C, Yu H, Foldes Z, Motzer A, Walbridge M, Shimer GH, Shaw KJ
11741871	Utilization of L-ascorbate by Escherichia coli K-12: assignments of functions to products of the yjf-sga and yia-sgb operons.	2002	J Bacteriol	Yew WS, Gerlt JA
12761386	Fishing new proteins in the twilight zone of genomes: the test case of outer membrane proteins in Escherichia coli K12, Escherichia coli O157:H7, and other Gram-negative bacteria.	2003	Protein Sci	Casadio R, Fariselli P, Finocchiaro G, Martelli PL
14731270	Global impact of mature biofilm lifestyle on Escherichia coli K-12 gene expression.	2004	Mol Microbiol	Beloin C, Valle J, Latour-Lambert P, Faure P, Kzreminski M, Balestrino D, Haagensen JA, Molin S, Prensier G, Arbeille B, Ghigo JM
15491352	Bacterial cell division and the septal ring.	2004	Mol Microbiol	Weiss DS
15947133	Gene targeting using randomly inserted group II introns (targetrons) recovered from an Escherichia coli gene disruption library.	2005	Nucleic Acids Res	Yao J, Zhong J, Lambowitz AM
15952903	The structural biology of type II fatty acid biosynthesis.	2005	Annu Rev Biochem	White SW, Zheng J, Zhang YM, Rock
16021622	Structural analysis of a set of proteins resulting from a bacterial genomics project.	2005	Proteins	Badger J, Sauder JM, Adams JM, Antonysamy S, Bain K, Bergseid MG, Buchanan SG, Buchanan MD, Batiyenko Y, Christopher JA, Emtage S, Eroshkina A, Feil I, Furlong EB, Gajiwala KS, Gao X, He D, Hendle J, Huber A, Hoda K, Kearins P, Kissinger C, Laubert B, Lewis HA, Lin J, Loomis K, Lorimer D, Louie G, Maletic M, Marsh CD, Miller I, Molinari J, Muller-Dieckmann HJ, Newman JM, Noland BW, Pagarigan B, Park F, Peat TS, Post KW, Radojicic S, Ramos A, Romero R, Rutter ME, Sanderson WE, Schwinn KD, Tresser J, Winhoven J, Wright TA, Wu L, Xu J, Harris TJ
16291677	Minimal functions and physiological conditions required for growth of salmonella enterica on ethanolamine in the absence of the metabolosome.	2005	J Bacteriol	Brinsmade SR, Paldon T, Escalante-Semerena JC
16294310	A protein network for phospholipid synthesis uncovered by a variant of the tandem affinity purification method in Escherichia coli.	2006	Proteomics	Gully D, Bouveret E
16585748	Conserving a volatile metabolite: a role for carboxysome-like organelles in Salmonella enterica.	2006	J Bacteriol	Penrod JT, Roth JR
17463081	Metabolic engineering of Escherichia coli for the production of L-valine based on transcriptome analysis and in silico gene knockout simulation.	2007	Proc Natl Acad Sci U S A	Park JH, Lee KH, Kim TY, Lee SY
18485872	Fiber formation across the bacterial outer membrane by the chaperone/usher pathway.	2008	Cell	Remaut H, Tang C, Henderson NS, Pinkner JS, Wang T, Hultgren SJ, Thanassi DG, Waksman G, Li H
18710431	Repression of small toxic protein synthesis by the Sib and OhsC small RNAs.	2008	Mol Microbiol	Fozo EM, Kawano M, Fontaine F, Kaya Y, Mendieta KS, Jones KL, Ocampo A, Rudd KE, Storz G
19747971	Proteolysis in the SOS response and metal homeostasis in Escherichia coli.	2009	Res Microbiol	Pruteanu M, Baker TA
19783991	Chemical genomics in Escherichia coli identifies an inhibitor of bacterial lipoprotein targeting.	2009	Nat Chem Biol	Pathania R, Zlitni S, Barker C, Das R, Gerritsma DA, Lebert J, Awuah E, Melacini G, Capretta FA, Brown ED
19919618	Identification of stress-related proteins in Escherichia coli using the pollutant cis-dichloroethylene.	2010	J Appl Microbiol	Lee J, Hiibel SR, Reardon KF, Wood TK
2155230	Molecular biology of carbon-phosphorus bond cleavage. Cloning and sequencing of the phn (psiD) genes involved in alkylphosphonate uptake and C-P lyase activity in Escherichia coli B.	1990	J Biol Chem	Chen CM, Ye QZ, Zhu ZM, Wanner BL, Walsh CT
7643383	Nitrate and nitrite regulation of the Fnr-dependent aeg-46.5 promoter of Escherichia coli K-12 is mediated by competition between homologous response regulators (NarL and NarP) for a common DNA-binding site.	1995	J Mol Biol	Darwin AJ, Stewart V
9294438	A promoter for the first nine genes of the Escherichia coli mra cluster of cell division and cell envelope biosynthesis genes, including ftsI and ftsW.	1997	J Bacteriol	Hara H, Yasuda S, Horiuchi K, Park JT
9603882	Characterization of the hca cluster encoding the dioxygenolytic pathway for initial catabolism of 3-phenylpropionic acid in Escherichia coli K-12.	1998	J Bacteriol	Díaz E, Ferrández A, García JL
9614967	Regulation of transcription of cell division genes in the Escherichia coli dcw cluster.	1998	Cell Mol Life Sci	Vicente M, Gomez MJ, Ayala JA
9632377	DNA strand exchange proteins: a biochemical and physical comparison.	1998	Front Biosci	Bianco PR, Tracy RB, Kowalczykowski SC
9721276	Contribution of the Pmra promoter to expression of genes in the Escherichia coli mra cluster of cell envelope biosynthesis and cell division genes.	1998	J Bacteriol	Mengin-Lecreulx D, Ayala J, Bouhss A, van Heijenoort J, Parquet C, Hara H
11153266	Biosynthesis of menaquinone (vitamin K2) and ubiquinone (coenzyme Q): a perspective on enzymatic mechanisms.	2001	Vitam Horm	Meganathan R
12718760	Accumulation of large non-circular forms of the chromosome in recombination-defective mutants of Escherichia coli.	2003	BMC Mol Biol	Handa N, Kobayashi I
14595348	Chaperonins govern growth of Escherichia coli at low temperatures.	2003	Nat Biotechnol	Ferrer M, Chernikova TN, Yakimov MM, Golyshin PN, Timmis KN
15659690	Genome-wide expression analysis indicates that FNR of Escherichia coli K-12 regulates a large number of genes of unknown function.	2005	J Bacteriol	Kang Y, Weber KD, Qiu Y, Kiley PJ, Blattner FR
15699038	Global gene expression profiling in Escherichia coli K12: effects of oxygen availability and ArcA.	2005	J Biol Chem	Salmon KA, Hung SP, Steffen NR, Krupp R, Baldi P, Hatfield GW, Gunsalus RP
16211402	Mechanisms of iron-sulfur cluster assembly: the SUF machinery.	2005	J Biol Inorg Chem	Fontecave M, Choudens SO, Py B, Barras F
16302275	Low temperature-induced systems failure in Escherichia coli: insights from rescue by cold-adapted chaperones.	2006	Proteomics	Strocchi M, Ferrer M, Timmis KN, Golyshin PN
18586941	Synthetic lethality with the dut defect in Escherichia coli reveals layers of DNA damage of increasing complexity due to uracil incorporation.	2008	J Bacteriol	Ting H, Kouzminova EA, Kuzminov A
1840580	Molecular analysis of the cryptic and functional phn operons for phosphonate use in Escherichia coli K-12.	1991	J Bacteriol	Makino K, Kim SK, Shinagawa H, Amemura M, Nakata A
1917846	Anaerobically expressed Escherichia coli genes identified by operon fusion techniques.	1991	J Bacteriol	Choe M, Reznikoff WS
8034728	Regulated expression in vitro of genes coding for formate hydrogenlyase components of Escherichia coli.	1994	J Biol Chem	Hopper S, Babst M, Schlensog V, Fischer HM, Hennecke H, Böck A
8039676	A reassessment of the range of c-type cytochromes synthesized by Escherichia coli K-12.	1994	FEMS Microbiol Lett	Iobbi-Nivol C, Crooke H, Griffiths L, Grove J, Hussain H, Pommier J, Mejean V, Cole JA
8096622	The complete general secretory pathway in gram-negative bacteria.	1993	Microbiol Rev	Pugsley AP
8432709	Identification of the regulatory sequence of anaerobically expressed locus aeg-46.5.	1993	J Bacteriol	Choe M, Reznikoff WS
8830238	Escherichia coli K-12 genes essential for the synthesis of c-type cytochromes and a third nitrate reductase located in the periplasm.	1996	Mol Microbiol	Grove J, Tanapongpipat S, Thomas G, Griffiths L, Crooke H, Cole J
8842153	The role of the genes nrf EFG and ccmFH in cytochrome c biosynthesis in Escherichia coli.	1996	Mol Gen Genet	Grovc J, Busby S, Cole J
9133319	Requirement of a large K+-uptake capacity and of extracytoplasmic protease activity for protamine resistance of Escherichia coli.	1997	Arch Microbiol	Stumpe S, Bakker EP
10382260	Thiamin biosynthesis in prokaryotes.	1999	Arch Microbiol	Begley TP, Downs DM, Ealick SE, McLafferty FW, Van Loon AP, Taylor S, Campobasso N, Chiu HJ, Kinsland C, Reddick JJ, Xi J
10486127	Effect of inactivation of nuo and ackA-pta on redistribution of metabolic fluxes in Escherichia coli.	1999	Biotechnol Bioeng	Yang YT, Bennett GN, San KY
10652103	Na+ translocation by complex I (NADH:quinone oxidoreductase) of Escherichia coli.	2000	Mol Microbiol	Steuber J, Schmid C, Rufibach M, Dimroth P
10908657	Snapshots of usher-mediated protein secretion and ordered pilus assembly.	2000	Proc Natl Acad Sci U S A	Saulino ET, Bullitt E, Hultgren SJ
10986234	Purine catabolism in Escherichia coli and function of xanthine dehydrogenase in purine salvage.	2000	J Bacteriol	Xi H, Schneider BL, Reitzer L
11350954	Escherichia coli CreBC is a global regulator of gene expression that responds to growth in minimal media.	2001	J Biol Chem	Avison MB, Horton RE, Walsh TR, Bennett PM
11544210	LuxArray, a high-density, genomewide transcription analysis of Escherichia coli using bioluminescent reporter strains.	2001	J Bacteriol	Van Dyk TK, DeRose EJ, Gonye GE
12626683	Cytokinesis in bacteria.	2003	Microbiol Mol Biol Rev	Errington J, Daniel RA, Scheffers DJ
12787348	Role of the Escherichia coli Tat pathway in outer membrane integrity.	2003	Mol Microbiol	Ize B, Stanley NR, Buchanan G, Palmer T
15126461	Signal transduction cascade between EvgA/EvgS and PhoP/PhoQ two-component systems of Escherichia coli.	2004	J Bacteriol	Eguchi Y, Okada T, Minagawa S, Oshima T, Mori H, Yamamoto K, Ishihama A, Utsumi R
15210329	Flavoprotein disulfide reductases: advances in chemistry and function.	2004	Prog Nucleic Acid Res Mol Biol	Argyrou A, Blanchard JS
15225322	Identification of mutator genes and mutational pathways in Escherichia coli using a multicopy cloning approach.	2004	Mol Microbiol	Yang H, Wolff E, Kim M, Diep A, Miller JH
15546670	Fiber assembly by the chaperone-usher pathway.	2004	Biochim Biophys Acta	Sauer FG, Remaut H, Hultgren SJ, Waksman G
15686558	Indole induces the expression of multidrug exporter genes in Escherichia coli.	2005	Mol Microbiol	Hirakawa H, Inazumi Y, Masaki T, Hirata T, Yamaguchi A
15748988	Unique stress response to the lactoperoxidase-thiocyanate enzyme system in Escherichia coli.	2005	Res Microbiol	Sermon J, Vanoirbeek K, De Spiegeleer P, Van Houdt R, Aertsen A, Michiels CW
16139413	Analysis of the Escherichia coli RNA degradosome composition by a proteomic approach.	2006	Biochimie	Regonesi ME, Del Favero M, Basilico F, Briani F, Benazzi L, Tortora P, Mauri P, Dehò G
16824090	The order of the ring: assembly of Escherichia coli cell division components.	2006	Mol Microbiol	Vicente M, Rico AI
16824093	Premature targeting of cell division proteins to midcell reveals hierarchies of protein interactions involved in divisome assembly.	2006	Mol Microbiol	Goehring NW, Gonzalez MD, Beckwith J
16987805	The ACT domain: a small molecule binding domain and its role as a common regulatory element.	2006	J Biol Chem	Grant GA
17545146	Control and regulation of KplE1 prophage site-specific recombination: a new recombination module analyzed.	2007	J Biol Chem	Panis G, Méjean V, Ansaldi M
17642475	Cobalt stress in Escherichia coli. The effect on the iron-sulfur proteins.	2007	J Biol Chem	Ranquet C, Ollagnier-de-Choudens S, Loiseau L, Barras F, Fontecave M
18631241	System-level mapping of Escherichia coli response regulator dimerization with FRET hybrids.	2008	Mol Microbiol	Gao R, Tao Y, Stock AM
18759741	Protein secretion and outer membrane assembly in Alphaproteobacteria.	2008	FEMS Microbiol Rev	Gatsos X, Perry AJ, Anwari K, Dolezal P, Wolynec PP, Likić VA, Purcell AW, Buchanan SK, Lithgow T
19269243	Allostery in the LacI/GalR family: variations on a theme.	2009	Curr Opin Microbiol	Swint-Kruse L, Matthews KS
29176613	Global landscape of cell envelope protein complexes in Escherichia coli.	2018	Nat Biotechnol	Babu M, Bundalovic-Torma C, Calmettes C, Phanse S, Zhang Q, Jiang Y, Minic Z, Kim S, Mehla J, Gagarinova A, Rodionova I, Kumar A, Guo H, Kagan O, Pogoutse O, Aoki H, Deineko V, Caufield JH, Holtzapple E, Zhang Z, Vastermark A, Pandya Y, Lai CC, El Bakkouri M, Hooda Y, Shah M, Burnside D, Hooshyar M, Vlasblom J, Rajagopala SV, Golshani A, Wuchty S, F Greenblatt J, Saier M, Uetz P, F Moraes T, Parkinson J, Emili A
318645	Chemical measurement of steady-state levels of ten aminoacyl-transfer ribonucleic acid synthetases in Escherichia coli.	1977	J Bacteriol	Neidhardt FC, Bloch PL, Pedersen S, Reeh S
1385388	Role of Escherichia coli K-12 rfa genes and the rfp gene of Shigella dysenteriae 1 in generation of lipopolysaccharide core heterogeneity and attachment of O antigen.	1992	J Bacteriol	Klena JD, Ashford RS, Schnaitman CA
1624462	Comparison of lipopolysaccharide biosynthesis genes rfaK, rfaL, rfaY, and rfaZ of Escherichia coli K-12 and Salmonella typhimurium.	1992	J Bacteriol	Klena JD, Pradel E, Schnaitman CA
1846145	Involvement of the Escherichia coli phn (psiD) gene cluster in assimilation of phosphorus in the form of phosphonates, phosphite, Pi esters, and Pi.	1991	J Bacteriol	Metcalf WW, Wanner BL
1938935	Physical maps of the rfa loci of Escherichia coli K-12 and Salmonella typhimurium.	1991	J Bacteriol	Schnaitman CA, Parker CT, Klena JD, Pradel EL, Pearson NB, Sanderson KE, MacClachlan PR
1970114	The fimD gene required for cell surface localization of Escherichia coli type 1 fimbriae.	1990	Mol Gen Genet	Klemm P, Christiansen G
2679883	Purification of NADH-ferricyanide dehydrogenase and NADH-quinone reductase from Escherichia coli membranes and their roles in the respiratory chain.	1989	Biochim Biophys Acta	Hayashi M, Miyoshi T, Takashina S, Unemoto T
3122832	NADH-ubiquinone oxidoreductases of the Escherichia coli aerobic respiratory chain.	1987	Biochemistry	Matsushita K, Ohnishi T, Kaback HR
6395859	DNA sequence around the Escherichia coli unc operon. Completion of the sequence of a 17 kilobase segment containing asnA, oriC, unc, glmS and phoS.	1984	Biochem J	Walker JE, Gay NJ, Saraste M, Eberle AN
7565112	Transcriptional regulation of the proton translocating NADH dehydrogenase genes (nuoA-N) of Escherichia coli by electron acceptors, electron donors and gene regulators.	1995	Mol Microbiol	Bongaerts J, Zoske S, Weidner U, Unden G
7984099	The energetics of bacterial growth: a reassessment.	1994	Mol Microbiol	Neijssel OM, Teixeira de Mattos MJ
8332529	The SWISS-PROT protein sequence data bank, recent developments.	1993	Nucleic Acids Res	Bairoch A, Boeckmann B
8387992	Demonstration of separate genetic loci encoding distinct membrane-bound respiratory NADH dehydrogenases in Escherichia coli.	1993	J Bacteriol	Calhoun MW, Gennis RB
8491720	Energetic efficiency of Escherichia coli: effects of mutations in components of the aerobic respiratory chain.	1993	J Bacteriol	Calhoun MW, Oden KL, Gennis RB, de Mattos MJ, Neijssel OM
8576043	Effect of microaerophilic cell growth conditions on expression of the aerobic (cyoABCDE and cydAB) and anaerobic (narGHJI, frdABCD, and dmsABC) respiratory pathway genes in Escherichia coli.	1996	J Bacteriol	Tseng CP, Albrecht J, Gunsalus RP
8655552	The cryptic general secretory pathway (gsp) operon of Escherichia coli K-12 encodes functional proteins.	1996	J Bacteriol	Francetic O, Pugsley AP
8919448	Nitrate reduction to ammonia by enteric bacteria: redundancy, or a strategy for survival during oxygen starvation?	1996	FEMS Microbiol Lett	Cole J
9063459	Requirement for the proton-pumping NADH dehydrogenase I of Escherichia coli in respiration of NADH to fumarate and its bioenergetic implications.	1997	Eur J Biochem	Tran QH, Bongaerts J, Vlad D, Unden G
9230919	Alternative respiratory pathways of Escherichia coli: energetics and transcriptional regulation in response to electron acceptors.	1997	Biochim Biophys Acta	Unden G, Bongaerts J
9545231	Ramifications of kinetic partitioning on usher-mediated pilus biogenesis.	1998	EMBO J	Saulino ET, Thanassi DG, Pinkner JS, Hultgren SJ
9588799	Low molecular weight proteins: a challenge for post-genomic research.	1998	Electrophoresis	Rudd KE, Humphery-Smith I, Wasinger VC, Bairoch A
9720032	Transcription and transcript processing in the sdhCDAB-sucABCD operon of Escherichia coli.	1998	Microbiology (Reading)	Cunningham L, Guest JR
9748275	Catabolism of phenylacetic acid in Escherichia coli. Characterization of a new aerobic hybrid pathway.	1998	J Biol Chem	Ferrández A, Miñambres B, García B, Olivera ER, Luengo JM, García JL, Díaz E
9791168	Molecular basis for structural diversity in the core regions of the lipopolysaccharides of Escherichia coli and Salmonella enterica.	1998	Mol Microbiol	Heinrichs DE, Yethon JA, Whitfield C
9829938	Identification of conserved, RpoS-dependent stationary-phase genes of Escherichia coli.	1998	J Bacteriol	Schellhorn HE, Audia JP, Wei LI, Chang L
